accueilli,camus-la-peste-utf8.txt	2589,1219
accueillies,camus-la-peste-utf8.txt	810
accueillir,camus-la-peste-utf8.txt	2175
accueillit,camus-la-peste-utf8.txt	2853,794
accumuler,camus-la-peste-utf8.txt	2878
accumulés,camus-la-peste-utf8.txt	907
accusa,camus-la-peste-utf8.txt	58
accusaient,camus-la-peste-utf8.txt	2088
accusait,camus-la-peste-utf8.txt	1515,200
accusait,dumas_blanche_beaulieu-utf8.txt	202
accusateur,camus-la-peste-utf8.txt	1071
accusé,dumas_blanche_beaulieu-utf8.txt	206
accès,camus-la-peste-utf8.txt	2557
accélérer,camus-la-peste-utf8.txt	1075
achemina,camus-la-peste-utf8.txt	2122
achetait,camus-la-peste-utf8.txt	2148
achetant,camus-la-peste-utf8.txt	2912
achevait,camus-la-peste-utf8.txt	1225
achevant,edmond_rostand_cyrano-utf8.txt	7867,4824
achevé,camus-la-peste-utf8.txt	2311
achevée,camus-la-peste-utf8.txt	2441
achille,edmond_rostand_cyrano-utf8.txt	16400
acolytes,edmond_rostand_cyrano-utf8.txt	706
acquiescé,camus-la-peste-utf8.txt	2163
acquis,camus-la-peste-utf8.txt	1705,1521
acquise,camus-la-peste-utf8.txt	2880
acte,camus-la-peste-utf8.txt	470,2195,2197,2195
acte,edmond_rostand_cyrano-utf8.txt	5937,15930,57,277,11009,97,21391,8802,149,127,73
actes,camus-la-peste-utf8.txt	2098,1083,3160
actes,edmond_rostand_cyrano-utf8.txt	22003,31,9086,274
acteur,edmond_rostand_cyrano-utf8.txt	22193,3177
acteurs,edmond_rostand_cyrano-utf8.txt	734
actif,camus-la-peste-utf8.txt	2531
action,camus-la-peste-utf8.txt	2132
actions,camus-la-peste-utf8.txt	2098,1453,1453,1453,2701,3138,2021
activait,camus-la-peste-utf8.txt	2589
active,camus-la-peste-utf8.txt	2229,873,36
actuelles,camus-la-peste-utf8.txt	1177
adaptés,camus-la-peste-utf8.txt	2142
additions,camus-la-peste-utf8.txt	1509,2888,520
adieu,edmond_rostand_cyrano-utf8.txt	8285,15699,21246,23232,22029,12600,12838,23164,16901
adieux,edmond_rostand_cyrano-utf8.txt	17592
adjectifs,camus-la-peste-utf8.txt	3198
admettaient,camus-la-peste-utf8.txt	1173
admettons,camus-la-peste-utf8.txt	2924,2924
admettra,camus-la-peste-utf8.txt	38
admettre,camus-la-peste-utf8.txt	594,2928,2535,2525
admettre,edmond_rostand_cyrano-utf8.txt	8147
administratifs,camus-la-peste-utf8.txt	196
administratifs,dumas_blanche_beaulieu-utf8.txt	132
administration,camus-la-peste-utf8.txt	2136
administrations,camus-la-peste-utf8.txt	1521
administrative,camus-la-peste-utf8.txt	2914
administratives,camus-la-peste-utf8.txt	1173
administre,camus-la-peste-utf8.txt	1349
administrés,camus-la-peste-utf8.txt	646,194
admirable,camus-la-peste-utf8.txt	1461
admirable,edmond_rostand_cyrano-utf8.txt	4968
admiratif,edmond_rostand_cyrano-utf8.txt	6502,3903
admiratifs,camus-la-peste-utf8.txt	1513
admiration,edmond_rostand_cyrano-utf8.txt	15649,8826
admire,edmond_rostand_cyrano-utf8.txt	10459
admirer,camus-la-peste-utf8.txt	3244
admis,camus-la-peste-utf8.txt	1055
admit,camus-la-peste-utf8.txt	426
adopter,camus-la-peste-utf8.txt	889
adorable,edmond_rostand_cyrano-utf8.txt	13414,21044,9032
adore,edmond_rostand_cyrano-utf8.txt	11915
adoré,edmond_rostand_cyrano-utf8.txt	13754
adossé,camus-la-peste-utf8.txt	1219,2407,170
adossés,camus-la-peste-utf8.txt	1231
adoucissement,camus-la-peste-utf8.txt	1047
adressait,camus-la-peste-utf8.txt	2553
adressent,edmond_rostand_cyrano-utf8.txt	9651
adresseraient,camus-la-peste-utf8.txt	1077
adresses,camus-la-peste-utf8.txt	1173
adressés,camus-la-peste-utf8.txt	3152
advient,edmond_rostand_cyrano-utf8.txt	9541
advint,edmond_rostand_cyrano-utf8.txt	17174
affable,edmond_rostand_cyrano-utf8.txt	3697
affaibli,camus-la-peste-utf8.txt	302
affaiblir,edmond_rostand_cyrano-utf8.txt	16869
